,created_at,text,coordinates
2418,Mon Dec 02 05:12:42 +0000 2013,"@KathySabine9 Like last system, I've made a #snow probabilty chart based on HPC's graphics. #COwx #Denver #weather http://t.co/h0bTgwnhCp",
2419,Mon Dec 02 07:13:32 +0000 2013,I love Colorado and I never want to leave. #milehigh #Colorado #Boulder,"{'type': 'Point', 'coordinates': [-105.25058328, 40.0945505]}"
2420,Mon Dec 02 02:25:33 +0000 2013,Christmas tree in the sky! #spotted #boulder #nofilter @ Harlow Platts Park http://t.co/Jy2j7vhE6J,"{'type': 'Point', 'coordinates': [-105.24769306, 39.97478515]}"
2421,Mon Dec 02 09:00:27 +0000 2013,0z ECMWF is just *brutal* with upcoming #COLD across #Denver metro. Says we're -10°F (or colder) by Thu AM. #COwx #weather #Denver #Boulder,
2422,Mon Dec 02 05:26:40 +0000 2013,Trails are open but far from the groomers we were used to #watchyourstep #boco_Trails #boulderflood… http://t.co/cbSzq37cnW,
2423,Mon Dec 02 13:35:09 +0000 2013,"RT @merwin612: Almost 3 months after #COFloods, Lyons Elementary school reopens today. @nonstopTLo live in 2 minutes with more info #UpWith…",
2424,Mon Dec 02 11:07:48 +0000 2013,"Look at a map for #Boulder, #Utah here! http://t.co/LqG6nAGl6b","{'type': 'Point', 'coordinates': [-111.426646, 37.916606]}"
2425,Mon Dec 02 04:43:50 +0000 2013,@NWSBoulder says last time Denver was 20° or lower for 5 days was 1998. Last 6 day stretch was 1985. We'll challenge that this week! #cowx,
2426,Mon Dec 02 09:50:46 +0000 2013,RT @WilliamMScherer: @NobleBrett Euro:Fri AM lows: -20° to -12°! Insane #Arctic temperatures! Coldest you've experienced in decades! #COwx …,
2427,Sun Dec 01 22:49:58 +0000 2013,Structure Amid Chaos - http://t.co/oYsDaVug5y #interiordesign #boulder #art,
2428,Sun Dec 01 23:54:45 +0000 2013,"Sometimes you need to stop what you're doing, find the nearest rooftop &amp; watch the sunset. #boulder http://t.co/jfRQ6uNk0P",
2429,Mon Dec 02 00:55:17 +0000 2013,"RT @OnlyInBoulder: Glorious Broncos Sunsets!!
https://t.co/EwmVHBP8tN
https://t.co/1hKRZPo6g1
(Via @CUgrlproblems @RealMatSmith #Boulder #C…",
2430,Sun Dec 01 23:51:46 +0000 2013,Just sitting on the deck admiring the view. #Sunset #VSCO #Boulder #Colorado http://t.co/QxbgZxxlbi,
2431,Sun Dec 01 08:12:23 +0000 2013,"RT @coloradowx: Per 0z ECMWF, *average* temp in #Denver next Tue --&gt; Sat = -5°F. Approximate 'normal' during same period is +31° (44°F/18°F…",
2432,Sun Dec 01 23:48:23 +0000 2013,RT @coloradowx: Pretty sunset ahead of this week's Arctic blast! #COwx #weather #Denver http://t.co/HpWM6rf5v2,
2433,Sun Dec 01 15:35:27 +0000 2013,"In #Boulder watching #SuperSoulSunday @OWNTV LOVE is the answer for everything @Oprah where did you tape this show, the bridge is beautiful!",
2434,Sun Dec 01 17:49:13 +0000 2013,HEY #BOULDER. Where should we busk on this fine Sunday? Any cafes that need music? Pearl St?,"{'type': 'Point', 'coordinates': [-105.12537213, 39.94023926]}"
2435,Mon Dec 02 00:20:30 +0000 2013,Allen Lefever captured the sea of clouds and ME driving down Lands End Road last night! #COwx #WesternSlope #Colorado http://t.co/hKBuOJSnf8,
2436,Sun Dec 01 17:01:18 +0000 2013,Happy Sunday AND December #Boulder!  #japango #sushi,
2437,Sun Dec 01 08:00:44 +0000 2013,Well said. MT @BrianBledsoe: Make sure your car &amp; furnace tuned up; running well. Cold later this wk to test them. 72hrs to prepare... #cowx,
2438,Sun Dec 01 15:38:24 +0000 2013,"@KarolinaHjelte just saw ur thanksgiving tweet, I spent thanksgiving in #Boulder Colorado at a wonderful Inn and let someone cook for me! ;)",
2439,Mon Dec 02 00:02:13 +0000 2013,Trompe-l'oeil #boulder #nofilter http://t.co/AfoKPysHsD,
2440,Mon Dec 02 00:04:27 +0000 2013,#cowx http://t.co/plsHY3q6IX,"{'type': 'Point', 'coordinates': [-105.3611159, 39.5857488]}"
2441,Mon Dec 02 00:41:06 +0000 2013,#PANIC RT @coloradowx: Latest from @weather5280 - “Putting Denver’s Upcoming Cold in Perspective” http://t.co/VIbjuCYx9U #COwx #Arctic #COLD,
2442,Sun Dec 01 23:33:11 +0000 2013,"High wind watch in effect tomorrow through Tuesday for Teller county, the Sangre De Christos, and the Wets. #cowx",
2443,Sun Dec 01 20:28:28 +0000 2013,RT @NWSBoulder: Dec 1-5th marks 100 yr anniversary of Great Colorado Snow Storm of 1913.Record level snowfall over much of CO. #cowx http:/…,
2444,Sun Dec 01 11:37:54 +0000 2013,RT @coloradowx: Both highs &amp; lows Wed --&gt; Sat of next week have potential to be coldest ever (for those dates) since records began #COwx #D…,
2445,Sun Dec 01 23:34:14 +0000 2013,High Wind Warning in effect for portions of Douglas and Jefferson Counties tomorrow through Tuesday. #cowx,
2446,Sun Dec 01 17:18:26 +0000 2013,Red Raincoat - oil triptych - Loft Space Artwork http://t.co/hKXIxImLQU via @Houzz #interiordesign #boulder,
2447,Sun Dec 01 19:06:44 +0000 2013,#soltera sunday happy hour at 5 free glass of house wine for the Boulder female's #boulder #local #food #dinner,
2448,Sun Dec 01 08:10:38 +0000 2013,"Per 0z ECMWF, *average* temp in #Denver next Tue --&gt; Sat = -5°F. Approximate 'normal' during same period is +31° (44°F/18°F). #COwx #weather",
2449,Sun Dec 01 17:26:55 +0000 2013,We're now looking at a 60°F drop in temperatures in 48 hours from near 70° Monday PM to ~10°F by Wednesday PM. #COwx #weather #Denver,
2450,Sun Dec 01 23:50:51 +0000 2013,Happy beginning of December with this beautiful sunset. #sunset #december #colorado #boulder @ Agave… http://t.co/PWy3pvUF37,"{'type': 'Point', 'coordinates': [-105.25917502, 40.02788]}"
2451,Sun Dec 01 17:23:10 +0000 2013,We're now looking at a 60°F drop in temperatures in 48 hours from near 70° Monday PM to ~10°F by Wednesday PM. #COwx #weather #Denver,
2452,Sun Dec 01 14:05:06 +0000 2013,RT @coloradowx: FLASH: Latest guidance --  #Denver may stay in single digits for *high* on Wed; may struggle to get &gt;0°F Thu! #COwx #weathe…,
2453,Sun Dec 01 22:34:22 +0000 2013,"RT @BrianBledsoe: In case you've been living under a rock during the past week, coldest air in 3 yrs to hit #Colorado this week. One more n…",
2454,Sun Dec 01 22:55:45 +0000 2013,Happy HOUR in one HOUR #happyhour #boulder #food #dinner,
2455,Sun Dec 01 17:19:57 +0000 2013,Boy's bedroom painting (toy horse) http://t.co/OvytE9zMk7 #interiordesign #boulder,
2456,Sun Dec 01 23:50:19 +0000 2013,Game day #Broncos sunset! #cowx http://t.co/uIpQV4T6At,
2457,Sun Dec 01 20:13:51 +0000 2013,New coffee mug from #RedRockCoffee in #Boulder @ Red Rock Coffee House http://t.co/G10HP9SXx8,
2458,Sun Dec 01 11:56:03 +0000 2013,Faucet drip weather incoming. Record breaking cold and snow by midweek. Be prepared. #cowx,
2459,Sun Dec 01 17:22:32 +0000 2013,Latest GFS MOS guidance produces a high of 68°F in #Denver on Monday...10°F by Wednesday &amp; only 6°F by Thursday! #COwx #weather #Boulder,
2460,Sun Dec 01 11:37:29 +0000 2013,"RT @coloradowx: Per 0z ECMWF, *average* temp in #Denver next Tue --&gt; Sat = -5°F. Approximate 'normal' during same period is +31° (44°F/18°F…",
2461,Mon Dec 02 00:01:28 +0000 2013,#Sunset #VSCO #Beautiful #Boulder #Colorado #CloudPorn http://t.co/jAhHUSFAay,
2462,Sun Dec 01 20:54:06 +0000 2013,RT @coloradowx: 12z ECMWF: Bitterly cold temps &amp; #snow this week in #Denver. You're reading those numbers correctly! #COwx #weather http://…,
2463,Sun Dec 01 17:00:39 +0000 2013,#akusokuzan #silverfang #AKBより余裕で可愛い人挙げていくから共感できたらRT #AFazenda #LUWUK #coflood #clode  #notebook #happiness #RedEye http://t.co/XRDysW0JVP,
2464,Sun Dec 01 19:17:05 +0000 2013,Reppin #California in #Boulder. Cuz few do beer better than #SanDiego. #GreenFlash #MADNOISEboulder http://t.co/Emxoh65qF8,
2465,Mon Dec 02 01:03:44 +0000 2013,"RT @OnlyInBoulder: Glorious Broncos Sunsets!!
https://t.co/EwmVHBP8tN
https://t.co/1hKRZPo6g1
(Via @CUgrlproblems @RealMatSmith #Boulder #C…",
2466,Mon Dec 02 00:47:44 +0000 2013,"NWS fcst disco: ""upper level flow pattern over top of upslope flow...could lead to appreciable #snow accums thru Wed"" #COwx #weather #Denver",
2467,Sun Dec 01 20:50:49 +0000 2013,RT @BrendansWeather: Here's a look at the 12z GFS v EURO temperature forecast for DEN this week: http://t.co/Be9GhU6NGF #cowx #Denver http:…,
2468,Sun Dec 01 23:43:58 +0000 2013,"A misty but sunny view of the #Colorado National Monument Thursday, courtesy: Klaus Alfred Girk #COwx #GJGO http://t.co/HMuh5cHzGv",
2469,Sun Dec 01 20:41:23 +0000 2013,RT @johndissauer: Latest run of #Euro computer model projection of high temps Friday. #Colorado #COwx #articair http://t.co/jWvZfOa65d,
2470,Sun Dec 01 23:48:04 +0000 2013,Pretty sunset ahead of this week's Arctic blast! #COwx #weather #Denver http://t.co/HpWM6rf5v2,
2471,Mon Dec 02 00:47:19 +0000 2013,Valley clouds from Lands End Road last night after #sunset. #COwx #WesternSlope  #Colorado @mikecfoto http://t.co/UHXRmFhVs3,
2472,Mon Dec 02 00:17:39 +0000 2013,"#SunsetSundayGMA #thedenverchannel #9news #cowx
Evergreen, CO http://t.co/37VAv4Dtmn",
2473,Sun Dec 01 23:46:05 +0000 2013,Another Boulder sky #boulder #sunset @ Lovers' Hill Park http://t.co/QIvumHiYtZ,"{'type': 'Point', 'coordinates': [-105.26838899, 40.02488686]}"
2474,Mon Dec 02 00:45:01 +0000 2013,"""Putting Denver's Upcoming Cold in Perspective"" http://t.co/Wm3lG4dWlT #COwx #weather #Denver #Arctic #COLD",
2475,Mon Dec 02 00:41:52 +0000 2013,Gravel grinding on the Lobo Trail in and around #Boulder http://t.co/UQyFha4QkS,
2476,Sun Dec 01 23:55:13 +0000 2013,Sky on fire. #Sunset #Boulder #Colorado #VSCO http://t.co/zjGeAml3yN,
2477,Sun Dec 01 23:56:20 +0000 2013,Amazing sunset this evening in Cherry Creek. #cowx http://t.co/bWNLRcvaoe,"{'type': 'Point', 'coordinates': [-104.93422313, 39.70447203]}"
2478,Sun Dec 01 16:02:18 +0000 2013,When it's a Zoo day gotta be done with the ride early. Caught a beautiful sunrise on a frosty ride up Flagstaff this morning. #boulder,"{'type': 'Point', 'coordinates': [-105.28761152, 40.0127463]}"
2479,Mon Dec 02 00:40:01 +0000 2013,"Latest from @weather5280 -- ""Putting Denver's Upcoming Cold in Perspective"" http://t.co/QMI59OoCth #COwx #weather #Denver #Arctic #COLD",
2480,Sun Dec 01 17:28:03 +0000 2013,"Join me in #Boulder, CO for a Q&amp;A on life &amp; the Spiritual Path. #BoulderYoga #denveryoga #coloradoyoga #colorado  https://t.co/A9fqlw5klM",
2481,Sun Dec 01 17:51:21 +0000 2013,Also why don't your liquor stores stay open later on Saturdays? #Boulder #COisweird #NobodyWarnedUs,"{'type': 'Point', 'coordinates': [-105.12519834, 39.94032546]}"
2482,Mon Dec 02 00:11:44 +0000 2013,"#9news #sundaysunsetgma #cowx
Evergreen, CO http://t.co/P9DXtsjPSt","{'type': 'Point', 'coordinates': [-105.3611176, 39.5857575]}"
2483,Sun Dec 01 20:12:41 +0000 2013,Does @AveryBrewingCo still host #ASL Happy Hour on Tuesdays? Article we found was from 2010. #Boulder,
2484,Sun Dec 01 23:58:51 +0000 2013,Curious: Anyone want help picking up their Christmas tree by bike/trailer? #boulder,
2485,Mon Dec 02 00:04:01 +0000 2013,#cowx http://t.co/oG9Wcj0BNz,"{'type': 'Point', 'coordinates': [-105.3610192, 39.5858121]}"
2486,Sun Dec 01 14:16:31 +0000 2013,#rolltide didn't get it done yet sun still coming up in #boulder #ynwa lets go #Liverpool @ Dushanbe… http://t.co/r7tj9PgCQn,"{'type': 'Point', 'coordinates': [-105.27725101, 40.01544423]}"
2487,Sun Dec 01 20:20:43 +0000 2013,RT @coloradowx: We're now looking at a 60°F drop in temperatures in 48 hours from near 70° Monday PM to ~10°F by Wednesday PM. #COwx #weath…,
2488,Sun Dec 01 20:22:37 +0000 2013,"RT @BrendansWeather: 100 years ago today was the start of Denver's biggest snowfall on record, 45.7"" of snow: http://t.co/hB6OI95oSe #cowx …",
2489,Mon Dec 02 00:02:08 +0000 2013,Gather around our table for some #sushi tonight! #japango #boulder #dinnertime,
2490,Sun Dec 01 20:54:51 +0000 2013,@BrendansWeather I still think #Denver has a fighting chance of 70° tomorrow &amp; has equally good shot at *not* making it to 10° on Thu #COwx,"{'type': 'Point', 'coordinates': [-104.87798205, 39.56262569]}"
2491,Mon Dec 02 00:49:19 +0000 2013,@weather5280 team has had internal discussions re. #snow potential this week &amp; will have fcst amounts tomorrow AM! #COwx #weather #Denver,
2492,Sun Dec 01 20:45:22 +0000 2013,12z ECMWF: Bitterly cold temps &amp; #snow this week in #Denver. You're reading those numbers correctly! #COwx #weather http://t.co/ja0BtuLZdz,"{'type': 'Point', 'coordinates': [-104.87792835, 39.56251311]}"
2493,Sun Dec 01 18:13:26 +0000 2013,RT @weather5280: We're now looking at a 60°F drop in temperatures in 48 hours from near 70° Monday PM to ~10°F by Wednesday PM. #COwx #weat…,
2494,Mon Dec 02 00:10:58 +0000 2013,Fire in the sky and fire in my heart #burnbabyburn #nofilter #boulder http://t.co/cf0Mrr8tj6,
2495,Mon Dec 02 00:18:25 +0000 2013,#boulder #colorado #sunset pict of the day! @ Holiday NOBO Neighborhood http://t.co/tWMYKhSbhq,"{'type': 'Point', 'coordinates': [-105.2721456, 40.05706955]}"
2496,Sun Dec 01 21:54:21 +0000 2013,Wintry weather and 'abysmal conditions' as someone put it are coming to the westernmost and that is okay with me #WinterIsComing #COwx #GJCO,
2497,Sun Dec 01 19:01:52 +0000 2013,How will you spend the first day of #December! #holidayseason #boulder #japango,
2498,Mon Dec 02 00:13:38 +0000 2013,"Another misty shot of the #Colorado National Monument last Saturday, courtesy:Jeff Stoddart #COwx #GJCO #WesternSlope http://t.co/ARe6C0H26H",
2499,Sun Dec 01 23:53:09 +0000 2013,#Boulder #sunset #nofilter http://t.co/YwSiQUZU4L,
2500,Sun Dec 01 16:05:01 +0000 2013,Getting ready for advent week 1. #Boulder @boulderwell @ The Well @ Casey Middle School http://t.co/X6LhjcBsOS,"{'type': 'Point', 'coordinates': [-105.278, 40.0228]}"
2501,Sun Dec 01 11:12:50 +0000 2013,The winners of #legendsonly13 ! #boulder @ Klättercentret http://t.co/AphQy5OKlw,"{'type': 'Point', 'coordinates': [17.99152056, 59.29907433]}"
2502,Sun Dec 01 20:01:39 +0000 2013,Some models showing lows around -30 next week. Now thats a three dog night. #cowx,
2503,Sun Dec 01 20:41:38 +0000 2013,RT @johndissauer: Here's a look at what the #Euro computer model is projecting for low temps Friday in Colorado. #brrrr #COwx http://t.co/3…,
2504,Sat Nov 30 18:21:51 +0000 2013,RT @globetrotter98: Sunset illuminating the peaks in @RMNPOfficial on a winter day from Nymph Lake #photography #travel #cowx #Colorado htt…,
2505,Sun Dec 01 07:20:21 +0000 2013,"GFS MOS guidance now down to 9°F for a high temp in #Denver on Thursday; based on ECMWF, this may still be *too* warm! #COwx #weather",
2506,Sun Dec 01 05:01:58 +0000 2013,Photo: #Fate #Atropos #Boulder #Colorado (at Fate Brewing Company) http://t.co/F2ORe5Ay7a,
2507,Sun Dec 01 07:49:36 +0000 2013,Both highs &amp; lows Wed --&gt; Sat of next week have potential to be coldest ever (for those dates) since records began #COwx #Denver #weather,
2508,Sun Dec 01 05:33:55 +0000 2013,"Get outdoor projects done by Tuesday. Single digits &amp; teens for highs, below zero lows possible by end of week #cowx http://t.co/Z2l2f5OtdY",
2509,Sun Dec 01 03:05:26 +0000 2013,RT @MattMakens247Wx: Strong indication that next week's cold could be coldest since Jan 2011: http://t.co/vXhbfj5hE9 #COwx http://t.co/7meG…,
2510,Sat Nov 30 21:22:28 +0000 2013,"RT @coloradowx: We have a fighting chance to hit  70° on Monday in #Denver ...but by Wednesday, we may not hit 20° for a high! #COwx #weath…",
2511,Sat Nov 30 20:03:58 +0000 2013,RT @dailycamera: #Boulder County flood losses: 337 structures worth $41M http://t.co/Ox4bpwQTpf via @chasbrennan (w/ MAP),
2512,Sat Nov 30 17:50:19 +0000 2013,The weather in Denver right now may be the best on the planet. Don’t tell. #cowx,
2513,Sun Dec 01 04:18:44 +0000 2013,"0z GFS still quite bullish w/ precip Wed/Thu in #Denver; 0.60"" QPF during this period. *IF* it verifies would mean ≧9"" #snow #COwx #weather",
2514,Sun Dec 01 04:32:38 +0000 2013,"RT @weather5280: 0z GFS still quite bullish w/ precip Wed/Thu in #Denver; 0.60"" QPF during this period. *IF* it verifies would mean ≧9"" #sn…",
2515,Sat Nov 30 19:20:27 +0000 2013,"While this nearly 60 degree weather is pleasant, I am very much looking forward to the Arctic front next week. #cowx",
2516,Sat Nov 30 17:55:19 +0000 2013,We love long weekends :) #japango #boulder #sushi,
2517,Sat Nov 30 12:18:09 +0000 2013,Anche in Italia dovremmo avere palestre #boulder del genere http://t.co/btdosoJ4sz,
2518,Sun Dec 01 04:42:27 +0000 2013,"RT @MattMakens247Wx: From 60s to below zero on the 7-Day Planner you'll see on 7News at 10pm, @DenverChannel #cowx http://t.co/w4ffA89Mhc",
2519,Sun Dec 01 00:42:22 +0000 2013,"Sunset on the ""Colorado Coast"" - Taken from Lands End Road on the Grand Mesa. #COwx #GJCO… http://t.co/JZtdEhCRML",
2520,Sun Dec 01 05:35:01 +0000 2013,RT @coloradowx: Latest model guidance is downright scary: by 5pm next Saturday we're at -5°F for an air temperature in #Denver. #COwx #weat…,
2521,Sat Nov 30 23:50:08 +0000 2013,Happy hour starts right now #Boulder #dinner #food #CUBuffs,
2522,Sat Nov 30 20:31:00 +0000 2013,Formerly Vic's. Still the best mochas in #Boulder (@ Que's Espresso) http://t.co/lIpGDuFbhO,"{'type': 'Point', 'coordinates': [-105.23746531, 39.98542338]}"
2523,Sun Dec 01 06:25:08 +0000 2013,"@lutef1sk @BrendansWeather ...probability of at least a few inches Wed/Thu, but MAIN story will be extreme cold. #COwx #weather #Denver",
2524,Sun Dec 01 05:51:55 +0000 2013,#cowx MT @RyanMaue: GFS model grid point over Denver has a 80°F  temperature swing next week.  Plus 58°F to minus 23° http://t.co/m9LtSryH2l,
2525,Sat Nov 30 14:26:45 +0000 2013,By Thursday temps struggle to get out of the single digits with lows well below 0. Expect light snow off and on Tues PM thru Fri #cowx,
2526,Sun Dec 01 00:11:45 +0000 2013,Most recent run of GFS has #Denver below 20°F the entire period from Wed night 12/4 through Sun morning 12/8! #COwx #weather #Arctic #COLD,
2527,Sun Dec 01 04:54:32 +0000 2013,"Dusk from Lands End Road tonight, above the inversion. Utah's La Sals distant. #COwx #UTwx #WesternSlope @mikecfoto http://t.co/ol45uXFYz4",
2528,Sat Nov 30 20:14:01 +0000 2013,RT @mattsebastian: New stats: Flood destroyed 337 structures worth $41M across #Boulder County http://t.co/laycuS6sNU via @chasbrennan http…,
2529,Sat Nov 30 18:38:16 +0000 2013,"#Sunrise over mist &amp; Mesa Verde this morning from Arriola, #Colorado, courtesy: Vandy Brinlee #COwx #FourCorners http://t.co/T5TAUtuKx4",
2530,Sat Nov 30 09:27:16 +0000 2013,"At height of the #Arctic blast, overnight lows could be some 80°F colder than the high Friday in #Denver -- 62°F. #COwx #weather #COLD",
2531,Sat Nov 30 09:05:01 +0000 2013,0z GEM (Canadian) :: 5 day pd 12/4-12/9 will *average* 40°F+ below normal for #Denver. #COwx #weather #Arctic #COLD http://t.co/HFuVrqUJfP,
2532,Sun Dec 01 06:05:48 +0000 2013,RT @weather5280: #cowx MT @RyanMaue: GFS model grid point over Denver has a 80°F  temperature swing next week.  Plus 58°F to minus 23° http…,
2533,Sun Dec 01 07:07:50 +0000 2013,"If you don't have a survival kit in your car, you may want to get/make one before Tue: life-threatening cold on tap. #COwx #weather #Denver",
2534,Sat Nov 30 18:18:50 +0000 2013,"MT @weather5280: Special State of the Atmosphere this week, one day early! Tracking the #COLD! #weather http://t.co/IWhgHmJguX #cowx",
2535,Sun Dec 01 06:47:18 +0000 2013,RT @coloradowx: Fcst temps @ 2pm (∴ approximate *highs*) for #Denver from 0z GFS: Wed 17°F; Thu 10°; Fri 11°; Sat 11°; ECMWF colder still. …,
2536,Sat Nov 30 17:04:25 +0000 2013,"Coast of #Colorado?  Sure looks like it!  Low clouds off the Grand Mesa yesterday, courtesy: Allen Lefever #COwx http://t.co/aqDy6U4tSR",
2537,Sat Nov 30 20:41:34 +0000 2013,Bike ride tomorrow morning before my flight. flagstaff Mountain or Sunshine canyon? #cycling #boulder,"{'type': 'Point', 'coordinates': [-117.20418565, 32.73242936]}"
2538,Sat Nov 30 18:31:20 +0000 2013,"RT @BrendansWeather: Already at 56° downtown Denver, 10° above the normal *high* for the date. Warm before the… #cowx",
2539,Sun Dec 01 07:27:59 +0000 2013,"RT @coloradowx: If you don't have a survival kit in your car, you may want to get/make one before Tue: life-threatening cold on tap. #COwx …",
2540,Sun Dec 01 04:33:02 +0000 2013,"@Camiba I think we'll see at least a few inches Wed/Thu, but perhaps not much more... #COwx #weather #Denver #snow",
2541,Sun Dec 01 07:27:36 +0000 2013,#PANIC!!! RT @coloradowx: FLASH: Latest guidance -- #Denver may stay in single digits for *high* on Wed; may struggle to get &gt;0°F Thu! #COwx,
2542,Sat Nov 30 18:00:50 +0000 2013,It’s way too warm for my black leggings and Ugg boots today. #cowx,
2543,Sat Nov 30 19:31:56 +0000 2013,"RT @mikegehard: Near/in #Boulder? Free evening of 12/8? Come spend time with @DandapaniLLC talking about the spiritual path.
https://t.co/W…",
2544,Sat Nov 30 13:24:11 +0000 2013,Buildin' #boulder #shoulders w/my good buddy Jacob Williams. #lifeistooshorttobesmall #hyoooge… http://t.co/FxhFgTB5at,"{'type': 'Point', 'coordinates': [-95.68552083, 29.69818296]}"
2545,Sun Dec 01 01:23:43 +0000 2013,Sipping @BhaktiChai and munching on some dark chocolate. Perfect combo. #Boulder,"{'type': 'Point', 'coordinates': [-105.2504525, 40.09470621]}"
2546,Sat Nov 30 18:14:37 +0000 2013,"Special State of the Atmosphere this week, one day early! Tracking the #COLD! http://t.co/V7sZOh85Y1 #cowx http://t.co/cAn8PZvZrJ",
2547,Sun Dec 01 07:30:21 +0000 2013,The record-low MAX for Wed is +7°F from 1909; for Thu is +6°F from 1972. Both may be in jeopardy this week. #COwx #weather #Denver #Boulder,
2548,Sun Dec 01 04:32:21 +0000 2013,"@Camiba Unfortunately...the last run of the more-accurate ECMWF, produced only 1/5 the amt. of precip of the GFS :-/ #COwx #weather #snow",
2549,Sat Nov 30 06:20:05 +0000 2013,Blackcember sales all month!! @ #cycleurbano #thehill #boulder #colorado #fixie #fixedgear #bikeshop… http://t.co/EA7s7URBTZ,"{'type': 'Point', 'coordinates': [-105.2756608, 40.0083091]}"
2550,Sat Nov 30 16:33:19 +0000 2013,From @FOX21News Mark Bullion: Expect another great day across southern Colorado. Highs in the 50s and plenty of sunshine! #COwx,
2551,Sun Dec 01 05:00:45 +0000 2013,Latest model guidance is downright scary: by 5pm next Saturday we're at -5°F for an air temperature in #Denver. #COwx #weather #Arctic #COLD,
2552,Sat Nov 30 17:22:57 +0000 2013,"Last day to experience Marie's, a #Boulder institution... #kolache and #dinerbabes","{'type': 'Point', 'coordinates': [-105.28036649, 40.02568329]}"
2553,Sun Dec 01 03:01:34 +0000 2013,All great nights started with #sushi and a #sake cocktail. #latenight #happyhour  #japango #boulder,
2554,Sun Dec 01 07:52:40 +0000 2013,RT @coloradowx: Both highs &amp; lows Wed --&gt; Sat of next week have potential to be coldest ever (for those dates) since records began #COwx #D…,
2555,Sun Dec 01 06:39:27 +0000 2013,"0z ECMWF has more than tripled its QPF for Tue/Wed in #Denver: 0.12"" in 12z run --&gt; ~0.50"" in 0z run. &gt;6"" #snow possible #COwx #weather",
2556,Sun Dec 01 03:14:03 +0000 2013,"RT @coloradowx: 5am Wednesday morning, 0z NAM has #Denver at 5°F w/ a wind chill of -7°F. Thur-Sat mornings will be colder still. #COwx #we…",
2557,Sun Dec 01 00:54:41 +0000 2013,"RT @coloradowx: Latest NWS fcst disco: ""...this will be the strongest #Arctic outbreak that we have seen in almost 3 years."" #COwx #weather…",
2558,Sat Nov 30 16:52:50 +0000 2013,"Boring picture, I know. #boulder but a bagel and whit in the dark is what I need! @ ozo coffee http://t.co/XUgysw9Yll","{'type': 'Point', 'coordinates': [-105.28227755, 40.01750691]}"
2559,Sat Nov 30 14:50:46 +0000 2013,In the holiday spirit we are offering up to 40% OFF SELECT STYLES today and tomorrow!  #boulder #holiday,"{'type': 'Point', 'coordinates': [-105.28434114, 40.01733727]}"
2560,Sun Dec 01 06:47:06 +0000 2013,Fcst temps @ 2pm (∴ approximate *highs*) for #Denver from 0z GFS: Wed 17°F; Thu 10°; Fri 11°; Sat 11°; ECMWF colder still. #COwx #weather,
2561,Sat Nov 30 22:55:23 +0000 2013,Get your friends together and go out for #sushi tonight! #boulder #japango #pearlst,
2562,Sat Nov 30 17:43:01 +0000 2013,Sunset illuminating the peaks in @RMNPOfficial on a winter day from Nymph Lake #photography #travel #cowx #Colorado http://t.co/X8RuLbugfb,
2563,Sun Dec 01 06:11:31 +0000 2013,@weather5280 @RyanMaue @BrendansWeather -23F in Denver???? #COwx,
2564,Sun Dec 01 03:00:55 +0000 2013,"5am Wednesday morning, 0z NAM has #Denver at 5°F w/ a wind chill of -7°F. Thur-Sat mornings will be colder still. #COwx #weather #Boulder",
2565,Sun Dec 01 00:44:08 +0000 2013,"In short, we'll drop at *least* 60°F in 60 hours across #Denver metro from Monday afternoon to Wednesday night. #COwx #weather #COLD",
2566,Sat Nov 30 20:38:37 +0000 2013,"We have a fighting chance to hit  70° on Monday in #Denver ...but by Wednesday, we may not hit 20° for a high! #COwx #weather #Arctic #COLD",
2567,Sat Nov 30 14:20:34 +0000 2013,"For the first time ever my #yoga class had more men than women. I love #Boulder - Full of fit, strong, and flexible guys!",
2568,Sun Dec 01 06:17:29 +0000 2013,"@coloradowx @RyanMaue @BrendansWeather @aarondelay and here I was just bragging on #cowx today, how nice it was.  Well we're used to it.",
2569,Sun Dec 01 04:44:08 +0000 2013,RT @MattMakens247Wx: Strong indication that next week's cold could be coldest since Jan 2011: http://t.co/vXhbfj5hE9 #COwx http://t.co/7meG…,
2570,Sun Dec 01 05:53:58 +0000 2013,MT @RyanMaue: GFS model grid point over #Denver has a 80°F temp swing next week.  58°F to -23° #COwx #weather http://t.co/EMcDmwJjhF,
2571,Sun Dec 01 05:00:52 +0000 2013,RT @coloradowx: Latest model guidance is downright scary: by 5pm next Saturday we're at -5°F for an air temperature in #Denver. #COwx #weat…,
2572,Sat Nov 30 09:08:45 +0000 2013,*Most* modeling now support overnight lows to -15°F or lower in #Denver during the height of upcoming #Arctic attack. #COwx #weather #COLD,
2573,Sat Nov 30 16:50:16 +0000 2013,"Fog fills #Colorado's Plateau Valley from the Grand Mesa Friday, courtesy: Julie Silzell #COwx #WesternSlope http://t.co/lYbwGoT0Y7",
2574,Sat Nov 30 17:01:13 +0000 2013,The view from my place #boulder #climb #valparaiso #tornamesa @ Tornamesa Centro De Escalada http://t.co/rlO3d2STAP,"{'type': 'Point', 'coordinates': [-71.603163, -33.037761]}"
2575,Sat Nov 30 18:56:48 +0000 2013,@janus303 Mountains will be *warmer* than Plains during upcoming Arctic outbreak... #COwx #weather,"{'type': 'Point', 'coordinates': [-104.95997308, 39.73702823]}"
